,code_insee,nom_standard,nom_sans_pronom,nom_a,nom_de,nom_sans_accent,nom_standard_majuscule,typecom,typecom_texte,reg_code,reg_nom,dep_code,dep_nom,canton_code,canton_nom,epci_code,epci_nom,academie_code,academie_nom,code_postal,codes_postaux,zone_emploi,code_insee_centre_zone_emploi,code_unite_urbaine,nom_unite_urbaine,taille_unite_urbaine,type_commune_unite_urbaine,statut_commune_unite_urbaine,population,superficie_hectare,superficie_km2,densite,altitude_moyenne,altitude_minimale,altitude_maximale,latitude_mairie,longitude_mairie,latitude_centre,longitude_centre,grille_densite,grille_densite_texte,niveau_equipements_services,niveau_equipements_services_texte,gentile,url_wikipedia,url_villedereve
29,01033,Valserhône,Valserhône,à Valserhône,de Valserhône,valserhone,VALSERHÔNE,COM,commune,84,Auvergne-Rhône-Alpes,01,Ain,0103,Valserhône,240100891,CC du Pays Bellegardien (CCPB),10,Lyon,01200,"01202, 01204, 01201, 01200, 01206, 01203",08416,74012,00360,Valserhône,3.0,UNITE URBAINE,C,16295,1544,15,1055.0,554,330.0,1606.0,46.108,5.826,46.107,5.832,2,Centres urbains intermédiaires,3.0,centres structurants d'équipements et de services,Valserhônois et Valserhônoises,https://fr.wikipedia.org/wiki/fr:Valserhône,https://villedereve.fr/ville/01033-valserhone
30,01034,Belley,Belley,à Belley,de Belley,belley,BELLEY,COM,commune,84,Auvergne-Rhône-Alpes,01,Ain,0104,Belley,200040350,CC Bugey Sud,10,Lyon,01300,"01303, 01302, 74009, 01300, 01301, 01306",08404,01034,01301,Belley,3.0,UNITE URBAINE,C,9239,2258,23,409.0,278,220.0,392.0,45.761,5.686,45.75,5.684,3,Petites villes,3.0,centres structurants d'équipements et de services,Belleysans,https://fr.wikipedia.org/wiki/fr:Belley,https://villedereve.fr/ville/01034-belley
31,01035,Belleydoux,Belleydoux,à Belleydoux,de Belleydoux,belleydoux,BELLEYDOUX,COM,commune,84,Auvergne-Rhône-Alpes,01,Ain,0114,Nantua,200042935,CA Haut - Bugey Agglomération,10,Lyon,01130,01130,08425,01283,01000,,0.0,HORS UNITE URBAINE,H,306,1789,18,17.0,953,616.0,1281.0,46.253,5.777,46.253,5.785,6,Rural à habitat dispersé,0.0,communes non pôle,Belleydousans,https://fr.wikipedia.org/wiki/fr:Belleydoux,https://villedereve.fr/ville/01035-belleydoux
32,01036,Valromey-sur-Séran,Valromey-sur-Séran,à Valromey-sur-Séran,de Valromey-sur-Séran,valromey-sur-seran,VALROMEY-SUR-SÉRAN,COM,commune,84,Auvergne-Rhône-Alpes,01,Ain,0110,Plateau d’Hauteville,200040350,CC Bugey Sud,10,Lyon,01260,01260,08404,01034,01000,,0.0,HORS UNITE URBAINE,H,1342,1968,20,68.0,630,251.0,1241.0,45.882,5.664,45.885,5.651,6,Rural à habitat dispersé,0.0,communes non pôle,,https://fr.wikipedia.org/wiki/fr:Valromey-sur-Séran,https://villedereve.fr/ville/01036-valromey-sur-seran
33,01037,Bénonces,Bénonces,à Bénonces,de Bénonces,benonces,BÉNONCES,COM,commune,84,Auvergne-Rhône-Alpes,01,Ain,0111,Lagnieu,240100883,CC de la Plaine de l'Ain,10,Lyon,01470,01470,08404,01034,01000,,0.0,HORS UNITE URBAINE,H,310,1532,15,20.0,702,280.0,1029.0,45.827,5.478,45.838,5.483,6,Rural à habitat dispersé,0.0,communes non pôle,Bénonçards,https://fr.wikipedia.org/wiki/fr:Bénonces,https://villedereve.fr/ville/01037-benonces
34,01038,Bény,Bény,à Bény,de Bény,beny,BÉNY,COM,commune,84,Auvergne-Rhône-Alpes,01,Ain,0118,Saint-Étienne-du-Bois,200071751,CA du Bassin de Bourg-en-Bresse,10,Lyon,01370,01370,08405,01053,01000,,0.0,HORS UNITE URBAINE,H,764,1827,18,42.0,227,200.0,244.0,46.321,5.284,46.319,5.282,6,Rural à habitat dispersé,0.0,communes non pôle,Bénéens,https://fr.wikipedia.org/wiki/fr:Bény,https://villedereve.fr/ville/01038-beny
35,01040,Béréziat,Béréziat,à Béréziat,de Béréziat,bereziat,BÉRÉZIAT,COM,commune,84,Auvergne-Rhône-Alpes,01,Ain,0102,Attignat,200071751,CA du Bassin de Bourg-en-Bresse,10,Lyon,01340,01340,08405,01053,01000,,0.0,HORS UNITE URBAINE,H,480,1127,11,43.0,201,185.0,213.0,46.367,5.046,46.367,5.04,6,Rural à habitat dispersé,0.0,communes non pôle,,https://fr.wikipedia.org/wiki/fr:Béréziat,https://villedereve.fr/ville/01040-bereziat
36,01041,Bettant,Bettant,à Bettant,de Bettant,bettant,BETTANT,COM,commune,84,Auvergne-Rhône-Alpes,01,Ain,0101,Ambérieu-en-Bugey,240100883,CC de la Plaine de l'Ain,10,Lyon,01500,01500,08405,01053,01000,,0.0,HORS UNITE URBAINE,H,749,344,3,218.0,326,245.0,605.0,45.943,5.363,45.937,5.367,4,Ceintures urbaines,0.0,communes non pôle,Bettantiers,https://fr.wikipedia.org/wiki/fr:Bettant,https://villedereve.fr/ville/01041-bettant
37,01042,Bey,Bey,à Bey,de Bey,bey,BEY,COM,commune,84,Auvergne-Rhône-Alpes,01,Ain,0123,Vonnas,200070555,CC de la Veyle,10,Lyon,01290,01290,00059,71270,01000,,0.0,HORS UNITE URBAINE,H,290,279,3,104.0,199,175.0,213.0,46.22,4.846,46.219,4.846,6,Rural à habitat dispersé,0.0,communes non pôle,Beydouins,https://fr.wikipedia.org/wiki/fr:Bey (Ain),https://villedereve.fr/ville/01042-bey
38,01043,Beynost,Beynost,à Beynost,de Beynost,beynost,BEYNOST,COM,commune,84,Auvergne-Rhône-Alpes,01,Ain,0113,Miribel,240100800,CC de Miribel et du Plateau,10,Lyon,01700,"01700, 01704, 01708",08421,69123,00760,Lyon,7.0,UNITE URBAINE,B,4877,1072,11,455.0,237,174.0,322.0,45.84,5.001,45.839,4.997,2,Centres urbains intermédiaires,2.0,centres intermédiaires d'équipements et de services,Beynolans,https://fr.wikipedia.org/wiki/fr:Beynost,https://villedereve.fr/ville/01043-beynost
39,01044,Billiat,Billiat,à Billiat,de Billiat,billiat,BILLIAT,COM,commune,84,Auvergne-Rhône-Alpes,01,Ain,0103,Valserhône,240100891,CC du Pays Bellegardien (CCPB),10,Lyon,01200,01200,08416,74012,01000,,0.0,HORS UNITE URBAINE,H,626,1400,14,45.0,774,324.0,1314.0,46.078,5.784,46.079,5.766,6,Rural à habitat dispersé,0.0,communes non pôle,Billiatus,https://fr.wikipedia.org/wiki/fr:Billiat,https://villedereve.fr/ville/01044-billiat
40,01045,Birieux,Birieux,à Birieux,de Birieux,birieux,BIRIEUX,COM,commune,84,Auvergne-Rhône-Alpes,01,Ain,0122,Villars-les-Dombes,200069193,CC de la Dombes,10,Lyon,01330,01330,08405,01053,01000,,0.0,HORS UNITE URBAINE,H,284,1576,16,18.0,281,277.0,295.0,45.953,5.039,45.953,5.037,6,Rural à habitat dispersé,0.0,communes non pôle,Birotans,https://fr.wikipedia.org/wiki/fr:Birieux,https://villedereve.fr/ville/01045-birieux
41,01046,Biziat,Biziat,à Biziat,de Biziat,biziat,BIZIAT,COM,commune,84,Auvergne-Rhône-Alpes,01,Ain,0123,Vonnas,200070555,CC de la Veyle,10,Lyon,01290,01290,00059,71270,01000,,0.0,HORS UNITE URBAINE,H,904,1164,12,78.0,195,179.0,224.0,46.217,4.944,46.227,4.941,6,Rural à habitat dispersé,0.0,communes non pôle,"Biziatis, Biziatie",https://fr.wikipedia.org/wiki/fr:Biziat,https://villedereve.fr/ville/01046-biziat
42,01047,Blyes,Blyes,à Blyes,de Blyes,blyes,BLYES,COM,commune,84,Auvergne-Rhône-Alpes,01,Ain,0111,Lagnieu,240100883,CC de la Plaine de l'Ain,10,Lyon,01150,"01150, 01154, 01155",08405,01053,01000,,0.0,HORS UNITE URBAINE,H,1292,936,9,138.0,212,199.0,243.0,45.846,5.25,45.847,5.252,6,Rural à habitat dispersé,1.0,centres locaux d'équipements et de services,Blyards,https://fr.wikipedia.org/wiki/fr:Blyes,https://villedereve.fr/ville/01047-blyes
43,01049,La Boisse,Boisse,à Boisse,de la Boisse,la-boisse,LA BOISSE,COM,commune,84,Auvergne-Rhône-Alpes,01,Ain,0113,Miribel,240100610,CC de la Côtière à Montluel,10,Lyon,01120,01120,08421,69123,00760,Lyon,7.0,UNITE URBAINE,B,3361,938,9,358.0,230,179.0,319.0,45.842,5.032,45.845,5.028,4,Ceintures urbaines,1.0,centres locaux d'équipements et de services,Buissards,https://fr.wikipedia.org/wiki/fr:La Boisse,https://villedereve.fr/ville/01049-la-boisse
44,01050,Boissey,Boissey,à Boissey,de Boissey,boissey,BOISSEY,COM,commune,84,Auvergne-Rhône-Alpes,01,Ain,0117,Replonges,200071371,CC Bresse et Saône,10,Lyon,01380,"01380, 01190",00059,71270,01000,,0.0,HORS UNITE URBAINE,H,386,939,9,41.0,198,182.0,208.0,46.381,4.997,46.373,4.999,6,Rural à habitat dispersé,0.0,communes non pôle,,https://fr.wikipedia.org/wiki/fr:Boissey (Ain),https://villedereve.fr/ville/01050-boissey
45,01051,Bolozon,Bolozon,à Bolozon,de Bolozon,bolozon,BOLOZON,COM,commune,84,Auvergne-Rhône-Alpes,01,Ain,0116,Pont-d'Ain,200042935,CA Haut - Bugey Agglomération,10,Lyon,01450,01450,08425,01283,01000,,0.0,HORS UNITE URBAINE,H,95,500,5,19.0,388,278.0,637.0,46.192,5.473,46.196,5.471,7,Rural à habitat très dispersé,0.0,communes non pôle,Bolozonnais,https://fr.wikipedia.org/wiki/fr:Bolozon,https://villedereve.fr/ville/01051-bolozon
46,01052,Bouligneux,Bouligneux,à Bouligneux,de Bouligneux,bouligneux,BOULIGNEUX,COM,commune,84,Auvergne-Rhône-Alpes,01,Ain,0122,Villars-les-Dombes,200069193,CC de la Dombes,10,Lyon,01330,01330,08405,01053,01000,,0.0,HORS UNITE URBAINE,H,327,2622,26,12.0,282,264.0,301.0,46.022,4.991,46.023,4.992,7,Rural à habitat très dispersé,0.0,communes non pôle,Boulignois,https://fr.wikipedia.org/wiki/fr:Bouligneux,https://villedereve.fr/ville/01052-bouligneux
